rank,song,artist
1,"Lose Control","Teddy Swims"
2,"A Bar Song (Tipsy)","Shaboozey"
3,"Beautiful Things","Benson Boone"
4,"I Had Some Help","Post Malone Featuring Morgan Wallen"
5,"Lovin On Me","Jack Harlow"
6,"Not Like Us","Kendrick Lamar"
7,"Espresso","Sabrina Carpenter"
8,"Million Dollar Baby","Tommy Richman"
9,"I Remember Everything","Zach Bryan Featuring Kacey Musgraves"
10,"Too Sweet","Hozier"
11,"Stick Season","Noah Kahan"
12,"Cruel Summer","Taylor Swift"
13,"Greedy","Tate McRae"
14,"Like That","Future, Metro Boomin & Kendrick Lamar"
15,"Birds Of A Feather","Billie Eilish"
16,"Please Please Please","Sabrina Carpenter"
17,"Agora Hills","Doja Cat"
18,"Good Luck, Babe!","Chappell Roan"
19,"Saturn","SZA"
20,"Snooze","SZA"
21,"Paint The Town Red","Doja Cat"
22,"Fortnight","Taylor Swift Featuring Post Malone"
23,"Fast Car","Luke Combs"
24,"Water","Tyla"
25,"Feather","Sabrina Carpenter"
26,"We Can't Be Friends (Wait For Your Love)","Ariana Grande"
27,"Austin","Dasha"
28,"Last Night","Morgan Wallen"
29,"Cowgirls","Morgan Wallen Featuring ERNEST"
30,"Pink Skies","Zach Bryan"
31,"Thinkin' Bout Me","Morgan Wallen"
32,"Texas Hold 'Em","Beyonce"
33,"Is It Over Now? (Taylor's Version) [From The Vault]","Taylor Swift"
34,"Miles On It","Marshmello & Kane Brown"
35,"I Can Do It With A Broken Heart","Taylor Swift"
36,"Wild Ones","Jessie Murph & Jelly Roll"
37,"Ain't No Love In Oklahoma","Luke Combs"
38,"Carnival","¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti"
39,"Houdini","Eminem"
40,"Wanna Be","GloRilla & Megan Thee Stallion"
41,"Slow It Down","Benson Boone"
42,"Redrum","21 Savage"
43,"Houdini","Dua Lipa"
44,"Yeah Glo!","GloRilla"
45,"Rich Baby Daddy","Drake Featuring Sexyy Red & SZA"
46,"What Was I Made For?","Billie Eilish"
47,"End Of Beginning","Djo"
48,"Lunch","Billie Eilish"
49,"Never Lose Me","Flo Milli"
50,"Lies Lies Lies","Morgan Wallen"
51,"Type Shit","Future, Metro Boomin, Travis Scott & Playboi Carti"
52,"Gata Only","FloyyMenor X Cris Mj"
53,"Hot To Go!","Chappell Roan"
54,"All I Want For Christmas Is You","Mariah Carey"
55,"Get It Sexyy","Sexyy Red"
56,"Made For Me","Muni Long"
57,"Vampire","Olivia Rodrigo"
58,"Whatever She Wants","Bryson Tiller"
59,"Rockin' Around The Christmas Tree","Brenda Lee"
60,"Pretty Little Poison","Warren Zeiders"
61,"First Person Shooter","Drake Featuring J. Cole"
62,"Die With A Smile","Lady Gaga & Bruno Mars"
63,"I Like The Way You Kiss Me","Artemas"
64,"Need A Favor","Jelly Roll"
65,"Save Me","Jelly Roll With Lainey Wilson"
66,"Euphoria","Kendrick Lamar"
67,"Truck Bed","HARDY"
68,"Jingle Bell Rock","Bobby Helms"
69,"Flowers","Miley Cyrus"
70,"Where The Wild Things Are","Luke Combs"
71,"Everybody","Nicki Minaj Featuring Lil Uzi Vert"
72,"La Diabla","Xavi"
73,"Stargazing","Myles Smith"
74,"Last Christmas","Wham!"
75,"I Am Not Okay","Jelly Roll"
76,"Pour Me A Drink","Post Malone Featuring Blake Shelton"
77,"White Horse","Chris Stapleton"
78,"Lil Boo Thang","Paul Russell"
79,"Good Good","Usher, Summer Walker & 21 Savage"
80,"Act II: Date @ 8","4batz Featuring Drake"
81,"High Road","Koe Wetzel & Jessie Murph"
82,"Monaco","Bad Bunny"
83,"IDGAF","Drake Featuring Yeat"
84,"Burn It Down","Parker McCollum"
85,"Fukumean","Gunna"
86,"Taste","Sabrina Carpenter"
87,"Where It Ends","Bailey Zimmerman"
88,"FTCU","Nicki Minaj"
89,"Wildflower","Billie Eilish"
90,"World On Fire","Nate Smith"
91,"On My Mama","Victoria Monet"
92,"Yes, And?","Ariana Grande"
93,"Exes","Tate McRae"
94,"A Holly Jolly Christmas","Burl Ives"
95,"Wind Up Missin' You","Tucker Wetmore"
96,"Bulletproof","Nate Smith"
97,"FE!N","Travis Scott Featuring Playboi Carti"
98,"The Painter","Cody Johnson"
99,"Down Bad","Taylor Swift"
100,"Dance The Night","Dua Lipa"
