rank,song,artist
1,"Die With A Smile","Lady Gaga & Bruno Mars"
2,"Luther","Kendrick Lamar & SZA"
3,"A Bar Song (Tipsy)","Shaboozey"
4,"Lose Control","Teddy Swims"
5,"Birds Of A Feather","Billie Eilish"
6,"Beautiful Things","Benson Boone"
7,"Ordinary","Alex Warren"
8,"I Had Some Help","Post Malone Featuring Morgan Wallen"
9,"APT.","Rosé & Bruno Mars"
10,"Pink Pony Club","Chappell Roan"
11,"Love Somebody","Morgan Wallen"
12,"Espresso","Sabrina Carpenter"
13,"I'm The Problem","Morgan Wallen"
14,"That's So True","Gracie Abrams"
15,"TV Off","Kendrick Lamar Featuring Lefty Gunplay"
16,"Timeless","The Weeknd & Playboi Carti"
17,"Not Like Us","Kendrick Lamar"
18,"Just In Case","Morgan Wallen"
19,"Taste","Sabrina Carpenter"
20,"Squabble Up","Kendrick Lamar"
21,"30 For 30","SZA & Kendrick Lamar"
22,"Mutt","Leon Thomas"
23,"Good News","Shaboozey"
24,"Nokia","Drake"
25,"Golden","Huntrix: Ejae, Audrey Nuna & Rei Ami"
26,"Wildflower","Billie Eilish"
27,"What I Want","Morgan Wallen Featuring Tate McRae"
28,"Messy","Lola Young"
29,"Stargazing","Myles Smith"
30,"Love Me Not","Ravyn Lenae"
31,"Good Luck, Babe!","Chappell Roan"
32,"No One Noticed","The Marías"
33,"All The Way","BigXthaPlug Featuring Bailey Zimmerman"
34,"Too Sweet","Hozier"
35,"Worst Way","Riley Green"
36,"Sailor Song","Gigi Perez"
37,"Sorry I'm Here For Someone Else","Benson Boone"
38,"Manchild","Sabrina Carpenter"
39,"Anxiety","Doechii"
40,"I Got Better","Morgan Wallen"
41,"Sticky","Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
42,"Undressed","Sombr"
43,"I Never Lie","Zach Top"
44,"Back To Friends","Sombr"
45,"Bed Chem","Sabrina Carpenter"
46,"Sports Car","Tate McRae"
47,"Mystical Magical","Benson Boone"
48,"Whatchu Kno About Me","GloRilla & Sexyy Red"
49,"Indigo","Sam Barber Featuring Avery Anna"
50,"Please Please Please","Sabrina Carpenter"
51,"DTMF","Bad Bunny"
52,"Blue Strips","Jessie Murph"
53,"Peekaboo","Kendrick Lamar Featuring AzChike"
54,"Your Idol","Saja Boys"
55,"High Road","Koe Wetzel Featuring Jessie Murph"
56,"Abracadabra","Lady Gaga"
57,"Who","Jimin"
58,"Burning Blue","Mariah The Scientist"
59,"All I Want For Christmas Is You","Mariah Carey"
60,"Daisies","Justin Bieber"
61,"Soda Pop","Saja Boys"
62,"Like Him","Tyler, The Creator Featuring Lola Young"
63,"Residuals","Chris Brown"
64,"Smile","Morgan Wallen"
65,"Last Christmas","Wham!"
66,"Am I Okay?","Megan Moroney"
67,"Rockin' Around The Christmas Tree","Brenda Lee"
68,"How It's Done","Huntrix: Ejae, Audrey Nuna & Rei Ami"
69,"Happen To Me","Russell Dickerson"
70,"Baile Inolvidable","Bad Bunny"
71,"Weren't For The Wind","Ella Langley"
72,"I Ain't Comin' Back","Morgan Wallen Featuring Post Malone"
73,"Cry For Me","The Weeknd"
74,"Bad Dreams","Teddy Swims"
75,"Denial Is A River","Doechii"
76,"BMF","SZA"
77,"Eoo","Bad Bunny"
78,"I'm Gonna Love You","Cody Johnson & Carrie Underwood"
79,"I Am Not Okay","Jelly Roll"
80,"Backup Plan","Bailey Zimmerman & Luke Combs"
81,"Jingle Bell Rock","Bobby Helms"
82,"Revolving Door","Tate McRae"
83,"What It Sounds Like","Huntrix: Ejae, Audrey Nuna & Rei Ami"
84,"Hard Fought Hallelujah","Brandon Lake & Jelly Roll"
85,"Somebody Loves Me","PartyNextDoor & Drake"
86,"Liar","Jelly Roll"
87,"Tu Boda","Óscar Maydon & Fuerza Regida"
88,"After All The Bars Are Closed","Thomas Rhett"
89,"Nuevayol","Bad Bunny"
90,"20 Cigarettes","Morgan Wallen"
91,"Rather Lie","Playboi Carti & The Weeknd"
92,"Free","Ejae & Andrew Choi"
93,"Takedown","Huntrix: Ejae, Audrey Nuna & Rei Ami"
94,"Heart Of A Woman","Summer Walker"
95,"House Again","Hudson Westbrook"
96,"Dark Thoughts","Lil Tecca"
97,"No Pole","Don Toliver"
98,"Folded","Kehlani"
99,"Superman","Morgan Wallen"
100,"Loco","Netón Vega"
